Unnamed: 0.1,Unnamed: 0,smiles,value
101,101,[*]CC(C=C1)=CC=C1C(C=C2)=CC=C2C(C=C3)=CC=C3[*],-6.26
104,104,[*]CC(C=C1)=CC=C1CC(S2)=CC=C2[*],-5.99
16,16,[*]CCOC(=O)c1ccc(C(=O)O[*])cc1,-6.18
66,66,[*]C(C=C1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3O[*],-6.29
158,158,[*]CC(=O)NC(=O)[*],-6.2
7,7,[*]CC(O[*])C(F)(F)F,-5.24
19,19,[*]CCCCCC(=O)O[*],-5.44
287,287,[*]NC(=S)C(=C1)SC(=C1)C(=S)[*],-5.92
345,345,[*]C(F)(F)C(F)(F)NC(=O)[*],-5.65
339,339,[*]C(F)(F)C(F)(F)C(=O)C(S1)=CC=C1[*],-5.86
386,386,[*]C(F)(F)C(=O)C(F)(F)C(S1)=CC=C1[*],-5.82
176,176,[*]CNC(S1)=CC=C1C(=O)[*],-6.0
284,284,[*]NC(=O)OC(S1)=CC=C1[*],-6.2
376,376,[*]C(S1)=CC=C1C(S2)=CC=C2C(=S)C(S3)=CC=C3C(=O)NC(=O)N[*],-6.19
289,289,[*]NC(=S)C(C=C1)=CC=C1O[*],-6.02
60,60,[*]C(C=C1)=CC=C1C(S2)=CC=C2C(C=C3)=CC=C3C(S4)=CC=C4[*],-6.28
79,79,[*]CC(S1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3[*],-6.03
277,277,[*]NC(=O)C(=S)C(=O)[*],-6.35
132,132,[*]CCC(=S)O[*],-5.34
246,246,[*]NC(S1)=CC=C1NC(S2)=CC=C2[*],-5.96
152,152,[*]CC(=O)C(=S)C(S1)=CC=C1[*],-6.0
109,109,[*]CC(C=C1)=CC=C1C(=O)C(=S)[*],-6.14
17,17,[*]CCCCOC(=O)c1ccc(C(=O)O[*])cc1,-5.97
163,163,[*]CC(=S)C(S1)=CC=C1C(=S)[*],-5.78
24,24,[*]CCCCCCC(=O)N[*],-5.39
175,175,[*]CNC(S1)=CC=C1C(C=C2)=CC=C2[*],-6.04
341,341,[*]C(F)(F)C(F)(F)C(=O)C(=S)[*],-5.51
145,145,[*]CC(=O)C(C=C1)=CC=C1C(=S)[*],-6.15
297,297,[*]NOC(=O)O[*],-5.77
258,258,[*]NC(C=C1)=CC=C1C(=O)C(S2)=CC=C2[*],-6.29
210,210,[*]C(=O)C(S1)=CC=C1C(S2)=CC=C2O[*],-6.27
173,173,[*]CC(=S)NO[*],-5.27
317,317,[*]C(=O)NC(=O)OC(=O)NCN[*],-6.22
385,385,[*]C(F)(F)C(F)(F)C(=O)O[*],-5.64
141,141,[*]CC(=O)C(S1)=CC=C1O[*],-6.03
233,233,[*]C(=O)OC(C=C1)=CC=C1C(=S)[*],-6.32
342,342,[*]C(F)(F)C(F)(F)C(=S)O[*],-5.26
119,119,[*]CCC(S1)=CC=C1C(S2)=CC=C2[*],-5.86
324,324,[*]C(F)(F)C(C=C1)=CC=C1C(F)(F)C(C=C2)=CC=C2[*],-6.06
196,196,[*]CNC(=S)O[*],-5.49
168,168,[*]CC(=S)CC(=S)[*],-5.3
157,157,[*]CC(=O)NC(C=C1)=CC=C1[*],-6.16
299,299,[*]NC(=S)NC(C=C1)=CC=C1NC(=S)NC(C=C2)=CC=C2OC(C=C3)=CC=C3[*],-6.15
36,36,[*]CCc1ccc(-c2ccc([*])cc2)cc1,-6.09
283,283,[*]NC(=O)NO[*],-5.7
150,150,[*]CC(=O)CC(=S)[*],-5.62
384,384,[*]C(F)(F)C(F)(F)C(S1)=CC=C1C(S2)=CC=C2[*],-5.87
228,228,[*]C(=O)C(C=C1)=CC=C1OC(S2)=CC=C2[*],-6.33
59,59,[*]C(C=C1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3O[*],-6.21
111,111,[*]CC(C=C1)=CC=C1C(=S)C(C=C2)=CC=C2[*],-6.17
177,177,[*]CNC(S1)=CC=C1C(=S)[*],-5.78
167,167,[*]CC(=S)C(C=C1)=CC=C1O[*],-5.99
6,6,[*]CCO[*],-5.21
280,280,[*]NC(=O)NC(C=C1)=CC=C1[*],-6.31
285,285,[*]NC(=O)OC(C=C1)=CC=C1[*],-6.35
10,10,[*]CCCCCOCO[*],-5.2
249,249,[*]NC(S1)=CC=C1OC(=S)[*],-5.92
103,103,[*]CC(C=C1)=CC=C1C(C=C2)=CC=C2O[*],-6.2
81,81,[*]CC(S1)=CC=C1C(S2)=CC=C2O[*],-5.95
198,198,[*]CNOC(C=C1)=CC=C1[*],-5.9
232,232,[*]C(=O)OC(S1)=CC=C1O[*],-6.25
286,286,[*]NC(=O)OC(=S)[*],-6.1
332,332,[*]C(F)(F)C(F)(F)C(C=C1)=CC=C1O[*],-5.89
321,321,[*]C(F)(F)C(S1)=CC=C1C(F)(F)C(=S)[*],-5.65
365,365,[*]C(C=C1)=CC=C1C(=S)C(S2)=CC=C2C(S3)=CC=C3[*],-6.22
89,89,[*]CC(S1)=CC=C1C(=O)O[*],-6.07
192,192,[*]CNC(=S)C(S1)=CC=C1[*],-5.79
147,147,[*]CC(=O)CC(S1)=CC=C1[*],-5.87
220,220,[*]C(=O)C(C=C1)=CC=C1C(S2)=CC=C2C(C=C3)=CC=C3[*],-6.38
92,92,[*]CC(S1)=CC=C1NC(S2)=CC=C2[*],-5.9
69,69,[*]C(C=C1)=CC=C1C(C=C2)=CC=C2C(C=C3)=CC=C3O[*],-6.34
123,123,[*]CCC(C=C1)=CC=C1C(=S)[*],-5.87
96,96,[*]CC(S1)=CC=C1OC(=S)[*],-5.78
143,143,[*]CC(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2[*],-6.29
364,364,[*]C(C=C1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3C(=S)[*],-6.27
97,97,[*]CC(C=C1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3[*],-6.12
222,222,[*]C(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2C(C=C3)=CC=C3[*],-6.42
68,68,[*]C(C=C1)=CC=C1C(C=C2)=CC=C2C(C=C3)=CC=C3C(=S)[*],-6.31
23,23,[*]CCC(=O)N[*],-5.69
37,37,[*]OC1C(CO)OC([*])C(O)C1O,-5.48
144,144,[*]CC(=O)C(C=C1)=CC=C1C(=O)[*],-6.34
122,122,[*]CCC(C=C1)=CC=C1C(S2)=CC=C2[*],-5.98
67,67,[*]C(C=C1)=CC=C1C(C=C2)=CC=C2C(C=C3)=CC=C3C(S4)=CC=C4[*],-6.34
266,266,[*]NC(C=C1)=CC=C1OC(=S)[*],-6.14
209,209,[*]C(=O)C(S1)=CC=C1C(S2)=CC=C2C(=S)[*],-6.22
211,211,[*]C(=O)C(S1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3[*],-6.34
325,325,[*]C(F)(F)C(C=C1)=CC=C1C(F)(F)C(=S)[*],-5.84
305,305,[*]C(=O)C(=S)C(=O)O[*],-6.47
125,125,[*]CCCC(S1)=CC=C1[*],-5.57
146,146,[*]CC(=O)C(C=C1)=CC=C1O[*],-6.19
227,227,[*]C(=O)C(C=C1)=CC=C1C(=S)O[*],-6.35
86,86,[*]CC(S1)=CC=C1CC(=S)[*],-5.65
360,360,[*]C(F)(F)NC(F)(F)C(=S)[*],-5.29
218,218,[*]C(=O)C(S1)=CC=C1OC(S2)=CC=C2[*],-6.22
329,329,[*]C(F)(F)C(F)(F)C(C=C1)=CC=C1C(S2)=CC=C2[*],-5.98
193,193,[*]CNC(=S)C(C=C1)=CC=C1[*],-5.96
250,250,[*]NC(C=C1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3[*],-6.18
294,294,[*]NC(=S)NO[*],-5.23
183,183,[*]CNC(C=C1)=CC=C1O[*],-5.98
195,195,[*]CNC(=S)N[*],-5.48
275,275,[*]NC(=O)C(=S)C(S1)=CC=C1[*],-6.16
203,203,[*]COC(C=C1)=CC=C1O[*],-6.03
274,274,[*]NC(=O)C(C=C1)=CC=C1O[*],-6.24
129,129,[*]CCC(=O)C(S1)=CC=C1[*],-5.9
38,38,[*]Cc1ccc(CO[*])cc1,-5.89
11,11,[*]CCOC(=O)NCCOCCOCCNC(=O)O[*],-5.52
262,262,[*]NC(C=C1)=CC=C1NC(S2)=CC=C2[*],-6.11
185,185,[*]CNCC(C=C1)=CC=C1[*],-5.84
316,316,[*]C(=O)NC(=O)NC(=O)NC(S1)=CC=C1N[*],-6.29
112,112,[*]CC(C=C1)=CC=C1C(=S)O[*],-6.0
179,179,[*]CNC(S1)=CC=C1O[*],-5.74
261,261,[*]NC(C=C1)=CC=C1C(=S)C(C=C2)=CC=C2[*],-6.23
362,362,[*]C(F)(F)NC(F)(F)O[*],-5.29
117,117,[*]CC(C=C1)=CC=C1OC(S2)=CC=C2[*],-6.08
358,358,[*]C(F)(F)NC(F)(F)C(C=C1)=CC=C1[*],-5.88
349,349,[*]C(F)(F)CC(F)(F)C(C=C1)=CC=C1[*],-5.8
374,374,[*]NC(C=C1)=CC=C1C(=O)C(C=C2)=CC=C2[*],-6.34
371,371,[*]C(=O)C(C=C1)=CC=C1C(=S)C(S2)=CC=C2[*],-6.31
352,352,[*]C(F)(F)CC(F)(F)N[*],-5.26
164,164,[*]CC(=S)C(S1)=CC=C1O[*],-5.8
350,350,[*]C(F)(F)CC(F)(F)C(=O)[*],-5.48
136,136,[*]CCON[*],-5.12
154,154,[*]CC(=O)C(=S)C(=O)[*],-6.06
199,199,[*]CNOC(=S)[*],-5.28
197,197,[*]CNOC(S1)=CC=C1[*],-5.66
382,382,[*]C(=O)NONC(=O)NC(S1)=CC=C1N[*],-5.99
2,2,[*]CC([*])(F)F,-5.21
204,204,[*]COC(=O)O[*],-5.97
115,115,[*]CC(C=C1)=CC=C1NC(=S)[*],-5.97
366,366,[*]CC(S1)=CC=C1CO[*],-5.68
229,229,[*]C(=O)C(C=C1)=CC=C1OC(=S)[*],-6.3
26,26,[*]Nc1cccc(C([*])=O)c1,-6.41
120,120,[*]CCC(S1)=CC=C1C(=S)[*],-5.69
298,298,[*]NOC(=S)O[*],-5.2
224,224,[*]C(=O)C(C=C1)=CC=C1C(=O)C(S2)=CC=C2[*],-6.45
234,234,[*]C(=O)OC(=O)O[*],-6.78
307,307,[*]CCOC(=S)NC(=S)C(C=C1)=CC=C1N[*],-5.81
335,335,[*]C(F)(F)C(F)(F)CC(=O)[*],-5.5
127,127,[*]CCCC(=O)[*],-5.52
74,74,[*]C(C=C1)=CC=C1C(=S)C(C=C2)=CC=C2O[*],-6.28
314,314,[*]C(=O)NC(=O)CNC(=O)ON[*],-6.11
29,29,[*]CCCCCCN1C(=O)c2ccc(C(=O)c3ccc4c(c3)C(=O)N([*])C4=O)cc2C1=O,-6.25
83,83,[*]CC(S1)=CC=C1C(C=C2)=CC=C2C(=S)[*],-6.05
322,322,[*]C(F)(F)C(S1)=CC=C1C(F)(F)O[*],-5.68
107,107,[*]CC(C=C1)=CC=C1C(=O)C(S2)=CC=C2[*],-6.2
334,334,[*]C(F)(F)C(F)(F)CC(C=C1)=CC=C1[*],-5.78
247,247,[*]NC(S1)=CC=C1NC(=S)[*],-5.89
133,133,[*]CCNC(S1)=CC=C1[*],-5.63
184,184,[*]CNCC(S1)=CC=C1[*],-5.61
282,282,[*]NC(=O)NC(=S)[*],-6.02
44,44,[*]c1cccc([*])n1,-6.6
357,357,[*]C(F)(F)NC(F)(F)C(S1)=CC=C1[*],-5.66
65,65,[*]C(C=C1)=CC=C1C(S2)=CC=C2OC(=S)[*],-6.17
292,292,[*]NC(=S)NC(C=C1)=CC=C1[*],-6.09
85,85,[*]CC(S1)=CC=C1CC(S2)=CC=C2[*],-5.81
242,242,[*]NC(S1)=CC=C1C(=O)C(S2)=CC=C2[*],-6.18
186,186,[*]CNCC(=O)[*],-5.59
70,70,[*]C(C=C1)=CC=C1C(C=C2)=CC=C2C(=S)O[*],-6.29
159,159,[*]CC(=O)NC(=S)[*],-5.8
12,12,[*]c1ccc(-c2nc3cc4nc([*])oc4cc3o2)cc1,-6.82
35,35,[*]c1ccc([*])cc1,-6.39
28,28,[*]CCCCCOC(=O)Nc1ccc(C)c(NC(=O)O[*])c1,-5.79
170,170,[*]CC(=S)C(=O)C(=S)[*],-5.79
142,142,[*]CC(=O)C(C=C1)=CC=C1C(S2)=CC=C2[*],-6.2
310,310,[*]CNC(=O)NCOCO[*],-5.58
337,337,[*]C(F)(F)C(F)(F)CN[*],-5.24
221,221,[*]C(=O)C(C=C1)=CC=C1C(S2)=CC=C2O[*],-6.35
95,95,[*]CC(S1)=CC=C1OC(S2)=CC=C2[*],-5.92
51,51,[*]C(S1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3C(=S)[*],-6.13
240,240,[*]NC(S1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3[*],-6.18
290,290,[*]NC(=S)C(=O)C(=S)[*],-5.94
296,296,[*]NOC(C=C1)=CC=C1O[*],-5.98
178,178,[*]CNC(S1)=CC=C1N[*],-5.7
41,41,[*]c1ccc([*])s1,-6.18
302,302,[*]CCOCCOC(=O)NC(=CC=C1(C))C=C1NC(=O)O[*],-5.83
206,206,[*]CONC(=O)[*],-5.69
254,254,[*]NC(C=C1)=CC=C1C(C=C2)=CC=C2C(C=C3)=CC=C3[*],-6.31
323,323,[*]C(F)(F)C(C=C1)=CC=C1C(F)(F)C(S2)=CC=C2[*],-5.99
4,4,[*]CCC(F)(F)C([*])(F)F,-5.21
256,256,[*]NC(C=C1)=CC=C1C(C=C2)=CC=C2C(=S)[*],-6.25
388,388,[*]C(F)(F)OC(F)(F)O[*],-5.25
100,100,[*]CC(C=C1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3[*],-6.19
226,226,[*]C(=O)C(C=C1)=CC=C1C(=O)C(=S)[*],-6.42
333,333,[*]C(F)(F)C(F)(F)CC(S1)=CC=C1[*],-5.59
213,213,[*]C(=O)C(S1)=CC=C1C(C=C2)=CC=C2O[*],-6.38
171,171,[*]CC(=S)C(=O)O[*],-5.84
98,98,[*]CC(C=C1)=CC=C1C(S2)=CC=C2C(C=C3)=CC=C3[*],-6.2
215,215,[*]C(=O)C(S1)=CC=C1C(=O)C(=S)[*],-6.33
61,61,[*]C(C=C1)=CC=C1C(S2)=CC=C2C(C=C3)=CC=C3C(=S)[*],-6.27
47,47,[*]C(OC1=C2)=NC1=CC=C2C(=NC3=C4)OC3=CC=C4[*],-6.81
32,32,[*]Oc1ccc(OC([*])=O)cc1,-6.41
267,267,[*]NC(=O)C(S1)=CC=C1C(C=C2)=CC=C2[*],-6.33
200,200,[*]CNON[*],-5.01
346,346,[*]C(F)(F)C(F)(F)NC(=S)[*],-5.29
27,27,[*]Cc1ccc(C(=O)N[*])cc1,-6.17
304,304,[*]NC(=O)OC(=O)[*],-6.61
230,230,[*]C(=O)C(=S)OC(=S)[*],-5.98
260,260,[*]NC(C=C1)=CC=C1C(=O)O[*],-6.22
288,288,[*]NC(=S)C(S1)=CC=C1O[*],-5.82
162,162,[*]CC(=O)OC(=S)[*],-5.87
331,331,[*]C(F)(F)C(F)(F)C(C=C1)=CC=C1C(=S)[*],-5.85
138,138,[*]CC(=O)C(S1)=CC=C1C(C=C2)=CC=C2[*],-6.21
62,62,[*]C(C=C1)=CC=C1C(S2)=CC=C2C(C=C3)=CC=C3O[*],-6.29
135,135,[*]CCNC(=S)[*],-5.36
128,128,[*]CCCC(=S)[*],-5.22
8,8,[*]CCCO[*],-5.2
64,64,[*]C(C=C1)=CC=C1C(S2)=CC=C2OC(S3)=CC=C3[*],-6.21
300,300,[*]NC(=S)NC(C=C1)=CC=C1NC(=S)NC(C=C2)=CC=C2CC(C=C3)=CC=C3[*],-6.09
14,14,[*]CCOC(=O)CCCCC(=O)O[*],-5.59
156,156,[*]CC(=O)NC(S1)=CC=C1[*],-6.01
40,40,[*]CCC(O[*])(C(F)(F)F)C(F)(F)F,-5.18
356,356,[*]C(F)(F)C(=S)C(F)(F)O[*],-5.24
340,340,[*]C(F)(F)C(F)(F)C(=O)C(C=C1)=CC=C1[*],-6.03
216,216,[*]C(=O)C(S1)=CC=C1C(=O)O[*],-6.49
279,279,[*]NC(=O)NC(S1)=CC=C1[*],-6.15
336,336,[*]C(F)(F)C(F)(F)CC(=S)[*],-5.19
236,236,[*]NC(S1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3[*],-6.09
207,207,[*]CONO[*],-5.08
212,212,[*]C(=O)C(S1)=CC=C1C(C=C2)=CC=C2C(=S)[*],-6.29
295,295,[*]NC(=S)OC(=S)[*],-5.64
354,354,[*]C(F)(F)C(=O)C(F)(F)C(=O)[*],-5.77
251,251,[*]NC(C=C1)=CC=C1C(S2)=CC=C2C(C=C3)=CC=C3[*],-6.26
380,380,[*]C(C=C1)=CC=C1NC(C=C2)=CC=C2C(=S)NC(S3)=CC=C3C(=O)N[*],-6.21
355,355,[*]C(F)(F)C(=O)C(F)(F)O[*],-5.57
303,303,[*]C(C=C1)=CC=C1C(=O)NC(=O)[*],-6.48
269,269,[*]NC(=O)C(S1)=CC=C1C(=S)[*],-6.14
201,201,[*]COC(S1)=CC=C1C(C=C2)=CC=C2[*],-6.07
161,161,[*]CC(=O)OC(=O)[*],-6.3
43,43,[*]Nc1ccc([*])cc1,-6.21
217,217,[*]C(=O)C(S1)=CC=C1C(=S)O[*],-6.21
190,190,[*]CNC(=O)C(S1)=CC=C1[*],-6.02
309,309,[*]CNCNC(=O)NC(=O)N[*],-5.84
259,259,[*]NC(C=C1)=CC=C1C(=O)C(=S)[*],-6.27
105,105,[*]CC(C=C1)=CC=C1CC(C=C2)=CC=C2[*],-6.09
53,53,[*]C(S1)=CC=C1C(S2)=CC=C2OC(=S)[*],-6.07
1,1,[*]CC([*])F,-5.18
49,49,[*]CCCOC(=O)CCCCCCCCOC(=O)CCCOC(=O)CCCCCCCCOC(=O)[*],-5.41
80,80,[*]CC(S1)=CC=C1C(S2)=CC=C2C(=S)[*],-5.95
205,205,[*]COC(=S)O[*],-5.47
34,34,[*]Oc1ccc(C(=O)c2ccc([*])cc2)cc1,-6.4
263,263,[*]NC(C=C1)=CC=C1NO[*],-5.91
91,91,[*]CC(S1)=CC=C1C(=S)O[*],-5.82
52,52,[*]C(S1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3O[*],-6.12
264,264,[*]NC(C=C1)=CC=C1OC(S2)=CC=C2[*],-6.14
241,241,[*]NC(S1)=CC=C1C(C=C2)=CC=C2C(=S)[*],-6.15
13,13,[*]CCCCCS[*],-5.03
315,315,[*]C(=O)NC(=O)NCCCN[*],-5.77
88,88,[*]CC(S1)=CC=C1C(=O)C(=S)[*],-5.99
273,273,[*]NC(=O)C(C=C1)=CC=C1C(=S)[*],-6.28
166,166,[*]CC(=S)C(C=C1)=CC=C1N[*],-5.95
328,328,[*]C(F)(F)C(F)(F)C(S1)=CC=C1O[*],-5.67
383,383,[*]C(=S)C(=O)CCNC(C=C1)=CC=C1C(=S)C(C=C2)=CC=C2[*],-6.05
134,134,[*]CCNC(C=C1)=CC=C1[*],-5.85
306,306,[*]C(C=C1)=CC=C1OC(=O)CC(=O)CCO[*],-6.01
373,373,[*]NC(S1)=CC=C1C(=O)O[*],-6.14
319,319,[*]OC(C=C1)=CC=C1C(=O)C(S2)=CC=C2C(=O)NOC(=O)[*],-6.35
243,243,[*]NC(S1)=CC=C1C(=O)C(=S)[*],-6.15
54,54,[*]C(S1)=CC=C1C(=S)C(S2)=CC=C2O[*],-6.04
50,50,[*]CC(C1=CC=CC=N1)CC(C2=CC=CC=N2)CC(C3=CC=CC=N3)[*],-5.99
174,174,[*]CC(=S)OC(=S)[*],-5.45
189,189,[*]CNCO[*],-5.27
387,387,[*]C(F)(F)C(=O)C(F)(F)C(C=C1)=CC=C1[*],-6.01
187,187,[*]CNCC(=S)[*],-5.26
169,169,[*]CC(=S)CO[*],-5.27
58,58,[*]C(C=C1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3C(S4)=CC=C4[*],-6.24
48,48,[*]CC(C=C1)=CC=C1C[*],-5.84
344,344,[*]C(F)(F)C(F)(F)NC(C=C1)=CC=C1[*],-5.86
235,235,[*]C(=O)OC(=S)O[*],-6.2
252,252,[*]NC(C=C1)=CC=C1C(S2)=CC=C2C(=S)[*],-6.18
21,21,[*]Oc1ccc(CC([*])=O)cc1,-6.21
313,313,[*]COC(=O)NCCNC[*],-5.49
160,160,[*]CC(=O)OC(S1)=CC=C1[*],-6.05
276,276,[*]NC(=O)C(=S)C(C=C1)=CC=C1[*],-6.26
191,191,[*]CNC(=O)C(=S)[*],-5.8
293,293,[*]NC(=S)NC(=S)[*],-5.69
343,343,[*]C(F)(F)C(F)(F)NC(S1)=CC=C1[*],-5.66
257,257,[*]NC(C=C1)=CC=C1C(C=C2)=CC=C2O[*],-6.21
308,308,[*]CNCCCOCO[*],-5.21
149,149,[*]CC(=O)CC(=O)[*],-5.95
130,130,[*]CCC(=O)C(C=C1)=CC=C1[*],-6.05
151,151,[*]CC(=O)CO[*],-5.62
359,359,[*]C(F)(F)NC(F)(F)C(=O)[*],-5.56
99,99,[*]CC(C=C1)=CC=C1C(S2)=CC=C2C(=S)[*],-6.08
372,372,[*]C(=O)C(C=C1)=CC=C1C(=S)C(C=C2)=CC=C2[*],-6.38
87,87,[*]CC(S1)=CC=C1C(=O)C(S2)=CC=C2[*],-6.08
330,330,[*]C(F)(F)C(F)(F)C(C=C1)=CC=C1C(C=C2)=CC=C2[*],-6.1
214,214,[*]C(=O)C(S1)=CC=C1C(=O)C(S2)=CC=C2[*],-6.37
121,121,[*]CCC(S1)=CC=C1O[*],-5.67
389,389,[*]N(C(=O)C1=C2)C(=O)C1=CC=C2C(=O)C(=CC=C3C4(=O))C=C3C(=O)N4C(C)COCCOCCOC(C)COCC(C)[*],-5.89
20,20,[*]CCC(=O)O[*],-5.73
188,188,[*]CNCN[*],-5.22
71,71,[*]C(C=C1)=CC=C1C(=S)C(S2)=CC=C2C(=S)[*],-6.16
106,106,[*]CC(C=C1)=CC=C1CC(=S)[*],-5.85
270,270,[*]NC(=O)C(S1)=CC=C1O[*],-6.08
348,348,[*]C(F)(F)CC(F)(F)C(S1)=CC=C1[*],-5.59
102,102,[*]CC(C=C1)=CC=C1C(C=C2)=CC=C2C(=S)[*],-6.17
