smiles,BalabanJ,Chi1n,Chi3n,Chi3v,EState_VSA2,EState_VSA6,EState_VSA9,FractionCSP3,HallKierAlpha,MinAbsEStateIndex,NumHDonors,PEOE_VSA14,SMR_VSA3,SMR_VSA5,SMR_VSA7,SlogP_VSA10,SlogP_VSA11,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,VSA_EState3,VSA_EState8,VSA_EState9,fr_Al_OH_noTert,fr_C_S,fr_benzene,fr_imide,fr_unbrch_alkane,EPS,Nc
*CCCCCOCO*,2.6476048489438337,2.866025403784439,0.8720084679281461,0.8720084679281461,0.0,6.923737199690624,9.843390348640757,1.0,-0.08,0.1051161344167296,0,49.42941668772215,0.0,26.186202068468653,0.0,0.0,0.0,13.399824270612744,9.843390348640757,0.0,4.988486079617032,3.0166242283950613,0.0,0,0,0,0,2,3.06,1.6043
*CCOC(=O)NCCOCCOCCNC(=O)O*,3.130180123606886,5.466979035088339,1.6366393037132516,1.6366393037132516,12.18648014187683,0.0,14.210588861400147,0.8,-1.54,0.3086281244358215,2,104.77390780835437,10.633577208012662,6.923737199690624,0.0,9.589074368143644,0.0,58.31040277626656,19.31711625624085,0.0,9.788648886514627,4.164068293044167,0.0,0,0,0,0,0,3.53,1.6526
*c1ccc(-c2nc3cc4nc(*)oc4cc3o2)cc1,1.912951970395641,5.436991515352813,2.7560371003289346,2.7560371003289346,0.0,0.0,8.834301874106695,0.0,-2.62,0.0186794463219426,0,101.31408502626284,9.967957041894415,0.0,36.39820241076966,0.0,0.0,9.967957041894415,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,5.68,2.3284
*Sc1ccc(*)cc1,2.881555877646136,2.02549135027785,0.6876496096143718,0.9598151365902804,0.0,6.06636706846161,0.0,0.0,-0.43,0.4362962962962963,0,47.85610796583882,0.0,4.895483475517775,24.26546827384644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,4.15,1.9808
*CCOC(=O)CCCCC(=O)O*,3.2674643165825263,3.8122784967090864,1.2748513913879471,1.2748513913879471,11.9386105759037,0.0,9.843390348640757,0.75,-1.06,0.1085874643067099,0,70.58498094859569,0.0,32.60702369139466,0.0,0.0,0.0,18.545492540416618,19.432464716784395,0.0,4.725302203258101,1.7025260071251234,0.0,0,0,0,0,1,3.25,1.6581
*CCOC(=O)CCCCCCC(=O)O*,3.201364976875434,4.812278496709086,1.7748513913879471,1.7748513913879471,11.9386105759037,0.0,9.843390348640757,0.8,-1.06,0.0464300767240879,0,83.42662419444773,0.0,45.448666937246685,0.0,0.0,0.0,18.545492540416618,19.432464716784395,0.0,4.782133007525809,1.7549680687093274,0.0,0,0,0,0,3,3.16,1.6577
*CCOC(=O)c1ccc(C(=O)O*)cc1,2.706325568943869,3.926538920568458,1.5894611216143304,1.5894611216143304,11.9386105759037,24.26546827384644,9.843390348640757,0.2,-1.84,0.2941312128361188,0,80.29406571413207,0.0,6.923737199690624,35.392371257240434,0.0,0.0,18.545492540416618,9.843390348640757,0.0,4.804654055109953,1.563473427760044,0.0,0,0,1,0,0,3.82,1.8075
*CCCCOC(=O)c1ccc(C(=O)O*)cc1,2.511191897655054,4.926538920568457,1.9837986889117365,1.9837986889117365,11.9386105759037,24.26546827384644,9.843390348640757,0.3333333333333333,-1.84,0.3005896834680199,0,93.13570895998411,0.0,19.765380445542643,35.392371257240434,0.0,0.0,18.545492540416618,9.843390348640757,0.0,4.829203612002168,1.8305235195015208,0.0,0,0,1,0,1,3.59,1.7603
*CC(=O)O*,2.9881608821342693,0.7618016810571369,0.0,0.0,5.969305287951849,0.0,0.0,0.5,-0.53,0.0648148148148151,0,22.794107066555,0.0,6.923737199690624,0.0,0.0,0.0,5.969305287951849,9.901064578912528,0.0,4.572916666666667,0.7812499999999999,0.0,0,0,0,0,0,3.99,1.6701
*CCCCCC(=O)O*,2.9617756061821483,2.761801681057136,0.8809008405285682,0.8809008405285682,5.969305287951849,0.0,5.106527394840706,0.8333333333333334,-0.53,0.0445776643990933,0,48.47739355825903,0.0,32.60702369139466,0.0,0.0,0.0,5.969305287951849,9.901064578912528,0.0,4.757101048752834,1.4751216458805745,0.0,0,0,0,0,2,3.12,1.6432
*CCC(=O)O*,3.002590528674132,1.2618016810571366,0.2041241452319314,0.2041241452319314,5.969305287951849,0.0,0.0,0.6666666666666666,-0.53,0.0509259259259262,0,29.21492868948101,0.0,13.344558822616634,0.0,0.0,0.0,5.969305287951849,9.901064578912528,0.0,4.641666666666667,1.1577314814814814,0.0,0,0,0,0,0,3.39,1.6631
*Oc1ccc(CC(*)=O)cc1,2.709147824373649,2.936722276696329,1.1996447988905226,1.1996447988905226,0.0,0.0,5.106527394840706,0.125,-1.31,0.0172874149659865,0,58.18647832379543,0.0,6.4208216229260096,29.82891976554344,0.0,5.749511833283905,6.286160523129555,11.21535880699783,0.0,5.254845521541951,0.0,0.0,0,0,1,0,0,3.52,1.7375
*Cc1ccc(C(=O)O*)cc1,2.843524062030637,2.8331688861030555,1.1896380335841157,1.1896380335841157,5.969305287951849,0.0,5.106527394840706,0.125,-1.31,0.1484315948601657,0,58.18647832379543,0.0,6.923737199690624,35.392371257240434,0.0,0.0,5.969305287951849,12.03026459453133,0.0,4.836452900604686,1.25317720143613,0.0,0,0,1,0,0,4.03,1.8426
*CCC(=O)N*,3.002590528674132,1.307677535825205,0.2270620726159657,0.2270620726159657,0.0,0.0,0.0,0.6666666666666666,-0.53,0.1246759259259259,1,29.779943213202145,5.733667477162185,13.344558822616634,0.0,0.0,0.0,5.907179729351506,4.794537184071822,0.0,0.0,1.2202314814814814,0.0,0,0,0,0,0,3.61,1.7036
*CCCCCCC(=O)N*,2.9549874302986416,3.3076775358252046,1.1538387679126023,1.1538387679126023,0.0,0.0,0.0,0.8571428571428571,-0.53,0.0865976158982111,1,55.46322970490618,5.733667477162185,39.02784531432067,0.0,0.0,0.0,5.907179729351506,4.794537184071822,0.0,0.0,1.526208978961955,0.0,0,0,0,0,3,3.34,1.6565
*CC(=O)N*,2.9881608821342693,0.8076775358252053,0.0,0.0,0.0,0.0,0.0,0.5,-0.53,0.1446759259259259,1,23.359121590276136,5.733667477162185,6.923737199690624,0.0,0.0,0.0,5.907179729351506,4.794537184071822,0.0,0.0,0.8923611111111109,0.0,0,0,0,0,0,4.01,1.7337
*Nc1cccc(C(*)=O)c1,3.0058892189147386,2.5254913502778504,0.9804222102882484,0.9804222102882484,0.0,0.0,0.0,0.0,-1.31,0.1685185185185185,1,52.33067122459055,0.0,0.0,29.82891976554344,5.687386274683562,0.0,6.286160523129555,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,4.43,1.9618
*Cc1ccc(C(=O)N*)cc1,2.843524062030637,2.879044740871124,1.2161244706837644,1.2161244706837644,5.907179729351506,0.0,0.0,0.125,-1.31,0.0227142384731671,1,58.751492847516566,5.733667477162185,6.923737199690624,35.392371257240434,0.0,0.0,5.907179729351506,6.923737199690624,0.0,0.0,1.273585364701436,0.0,0,0,1,0,0,3.96,1.8171
*CCCCCOC(=O)Nc1ccc(C)c(NC(=O)O*)c1,2.491395918965853,6.343205587235125,2.5981955649294863,2.5981955649294863,0.0,12.13273413692322,9.843390348640757,0.4285714285714285,-2.24,0.4404991817841124,2,117.10666854579506,0.0,33.10993926815928,23.762552697081823,20.963846917510768,0.0,18.793362106389747,9.843390348640757,6.923737199690624,10.129143218324456,3.7163956065207246,0.0,0,0,1,0,2,3.72,1.7297
*CCCCCCN1C(=O)c2ccc(C(=O)c3ccc4c(c3)C(=O)N(*)C4=O)cc2C1=O,1.5436899499958234,9.707343426601582,5.310262406557256,5.310262406557256,51.66576983055894,0.0,0.0,0.2608695652173913,-3.61,0.2436626826656589,0,172.53203957724577,10.216698334856808,32.60702369139466,69.77891136095164,0.0,0.0,46.173418604540345,0.0,0.0,1.2624499979466517,1.7685302614930145,0.0,0,0,2,2,3,3.79,1.8137
*OC(=O)c1ccc(C(*)=O)cc1,2.9340419411151166,2.9337396407417136,1.2384535700530246,1.2384535700530246,12.255465811081404,24.26546827384644,5.106527394840706,0.0,-1.64,0.2484174225245656,0,62.34343883130618,0.0,0.0,35.392371257240434,0.0,0.0,12.255465811081404,5.106527394840706,0.0,4.7783640400604686,0.0,0.0,0,0,1,0,0,5.0,1.869
*CCCCCOC(=O)O*,2.9549874302986416,2.901047570290608,0.8642507701111299,0.8642507701111299,0.0,0.0,4.736862953800049,0.8333333333333334,-0.73,0.2884023841017888,0,53.5863771952329,0.0,26.186202068468653,0.0,4.794537184071822,0.0,12.762247594051676,9.843390348640757,0.0,4.557930524061477,2.00164879377677,0.0,0,0,0,0,2,3.09,1.6374
*Oc1ccc(OC(*)=O)cc1,2.709147824373649,2.637863785973645,0.9832501699667509,0.9832501699667509,6.472220864716464,12.13273413692322,9.843390348640757,0.0,-1.5100000000000002,0.0536649659863943,0,56.87464033784328,0.0,0.0,24.26546827384644,4.794537184071822,11.49902366656781,6.472220864716464,0.0,0.0,5.199289965986394,-0.0536649659863943,0.0,0,0,1,0,0,3.95,1.7876
*CCCN*,2.3390923149762908,1.3535533905932735,0.1767766952966368,0.1767766952966368,0.0,6.923737199690624,0.0,1.0,-0.04,0.5181944444444444,1,25.622982705691395,5.733667477162185,13.344558822616634,0.0,0.0,0.0,6.544756405912575,0.0,0.0,0.0,2.919305555555556,0.0,0,0,0,0,0,3.03,1.6776
*Oc1ccc(C(=O)c2ccc(*)cc2)cc1,2.268204423334219,4.550982700555701,2.0969271840644508,2.0969271840644508,5.783244946364939,0.0,5.106527394840706,0.0,-2.0899999999999994,0.0830498866213158,0,87.15802795810987,0.0,0.0,59.65783953108687,0.0,5.749511833283905,5.783244946364939,0.0,0.0,5.317318847878913,0.0,0.0,0,0,2,0,0,4.32,1.9173
*c1ccc(*)cc1,3.0324555320336755,1.8213672050459184,0.5515668461264174,0.5515668461264174,0.0,12.13273413692322,0.0,0.0,-0.78,0.4594444444444444,0,36.39820241076966,0.0,0.0,24.26546827384644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,4.48,2.0982
*CCc1ccc(-c2ccc(*)cc2)cc1,2.238556210452561,4.746287800685112,2.2941777539098296,2.2941777539098296,0.0,6.06636706846161,0.0,0.1428571428571428,-1.5599999999999996,0.3514969153154579,0,84.63221691386212,0.0,13.344558822616634,54.09438803938988,0.0,0.0,0.0,6.4208216229260096,0.0,0.0,1.4704453770335806,0.0,0,0,2,0,0,3.58,1.872
*OC1C(CO)OC(*)C(O)C1O,2.686091484209442,3.2813139504949045,1.6256742665476047,1.6256742665476047,13.213763929025836,0.0,14.94991774348146,1.0,-0.2,0.149537037037037,3,62.79260201318191,0.0,31.02274751550613,0.0,0.0,0.0,52.94921166454116,9.843390348640757,0.0,33.31856481481482,-0.3592129629629632,0.0,3,0,0,0,0,3.78,1.6879
*Cc1ccc(CO*)cc1,2.664537066654608,2.817149120827279,1.1896380335841157,1.1896380335841157,0.0,0.0,5.106527394840706,0.25,-0.8200000000000001,0.1208042800453513,0,54.029517816284674,0.0,13.530619164203545,35.392371257240434,0.0,0.0,0.0,18.637146559044247,0.0,5.267008456160242,2.2138669217687075,0.0,0,0,1,0,0,3.47,1.7774
*CCOCCOC(=O)O*,2.9549874302986416,2.478397839480233,0.59192167074187,0.59192167074187,0.0,0.0,4.736862953800049,0.8,-0.77,0.3243981481481484,0,52.27453920928076,0.0,6.923737199690624,0.0,4.794537184071822,0.0,25.97601152307751,14.580253302440804,0.0,4.50237496850592,2.884131550768456,0.0,0,0,0,0,0,3.32,1.6326
*CCC(O*)(C(F)(F)F)C(F)(F)F,5.208377949667092,2.691570954852886,1.26788231518466,1.26788231518466,6.923737199690624,0.0,0.0,1.0,-0.46,0.0190277777777778,0,62.7472243493769,0.0,31.298206668487268,0.0,26.34249028604892,0.0,17.953647845870638,5.106527394840706,0.0,3.947222222222222,0.0190277777777778,0.0,0,0,0,0,0,3.05,1.5724
*Oc1ccc(-c2ccc(C(*)=O)cc2)cc1,2.2938665692343942,4.550982700555701,2.1904009192718807,2.1904009192718807,0.0,0.0,5.106527394840706,0.0,-2.09,0.0459823680007664,0,87.15802795810987,0.0,0.0,54.09438803938988,0.0,5.749511833283905,6.286160523129555,0.0,0.0,5.369228031101227,0.0,0.0,0,0,2,0,0,4.1,1.9035
*Nc1ccc(*)cc1,2.881555877646136,2.0713672050459184,0.7182335127930841,0.7182335127930841,0.0,6.06636706846161,0.0,0.0,-0.98,0.3274074074074073,1,41.752889094153794,0.0,0.0,24.26546827384644,5.687386274683562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,5.52,2.124
*c1cccc(*)n1,3.077660437970554,1.6912305313562506,0.4706207331034419,0.4706207331034419,0.0,0.0,0.0,0.0,-0.8500000000000001,0.3558333333333333,0,35.57676686955819,4.9839785209472085,0.0,18.19910120538483,0.0,0.0,4.9839785209472085,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4.35,1.9952
*CC(CC(CC(CC(*)c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1,1.6247455096935708,11.655172981718133,6.388645902935892,6.388645902935892,0.0,11.126902983393991,0.0,0.25,-3.1199999999999983,0.2126672405009346,0,193.94188916589903,0.0,50.36074182987885,143.58114733602022,0.0,0.0,0.0,0.0,0.0,0.0,1.4327511162612172,0.0,0,0,4,0,0,2.71,1.6244
*c1ccc2oc(-c3ccc4nc(*)oc4c3)nc2c1,1.903109728238475,5.436991515352814,2.760519920408656,2.760519920408656,0.0,0.0,8.834301874106695,0.0,-2.62,0.0104492485061569,0,101.31408502626282,9.967957041894415,0.0,36.39820241076966,0.0,0.0,9.967957041894415,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,4.77,2.116
*Cc1ccc(C*)cc1,2.7972512629697874,2.528473986232466,1.0229713669174492,1.0229713669174492,0.0,11.126902983393991,0.0,0.25,-0.78,0.5672033257747544,0,49.23984565662168,0.0,13.847474399381248,35.392371257240434,0.0,0.0,0.0,13.847474399381248,0.0,0.0,2.8265192743764174,0.0,0,0,1,0,0,3.97,1.9676
*CCCOC(=O)CCCCCCCCOC(=O)CCCOC(=O)CCCCCCCCOC(*)=O,3.355753816996534,12.848353872014524,5.170189559482608,5.170189559482608,37.40784031601094,0.0,18.9474518152002,0.8461538461538461,-2.12,0.0140835170505437,0,169.42416261479428,0.0,116.07770478943284,0.0,4.794537184071822,0.0,50.80766458662368,33.33106336741566,0.0,0.0,3.1212828905609227,0.0,0,0,0,0,10,3.05,1.6306
*CC(CC(CC(*)c1ccccn1)c1ccccn1)c1ccccn1,1.815127381006223,8.218709322379613,4.0804053196374985,4.0804053196374985,0.0,0.0,4.9839785209472085,0.2857142857142857,-2.55,0.1698494583018392,0,143.24356803917215,14.951935562841626,38.02201416079144,90.26961831553912,0.0,0.0,14.951935562841626,0.0,0.0,0.0,1.352069712144117,0.0,0,0,0,0,0,3.19,1.7108
*Oc1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,1.933629767577347,4.660919824192399,2.1446694684285608,5.297925641797731,0.0,16.716848648400653,5.106527394840706,0.0,-1.1,0.0026371159370797,0,105.4669465199739,0.0,0.0,36.39820241076966,0.0,5.0632075352882095,0.0,0.0,0.0,8.197712670276253,0.0,0.0,0,0,0,0,0,5.59,2.2729
*C(=S)Oc1ccc(-c2ccc(*)s2)s1,2.2334160860502,3.50023622166944,1.4380812703613377,3.476976584064968,0.0,16.716848648400653,16.954736396846744,0.0,-0.71,0.0351355557655161,0,89.64488435682253,0.0,0.0,24.26546827384644,0.0,5.0632075352882095,5.553543237103148,0.0,0.0,2.535470311581423,0.0,0.0,0,1,0,0,0,5.88,2.2317
*Oc1ccc(C(=S)c2ccc(*)s2)s1,2.276791863299917,3.5461120764375083,1.5005553451758311,3.91024147077806,0.0,16.716848648400653,17.324400837887403,0.0,-0.71,0.0160917684975223,0,89.32557287951167,0.0,0.0,34.01976266124904,0.0,5.0632075352882095,4.864567318751625,0.0,0.0,7.99100626207273,0.0,0.0,0,1,0,0,0,4.89,2.0575
*C(=S)OC(=S)c1ccc(*)s1,2.716322890255734,2.3854284739145486,0.8071804298327694,2.118294753351251,0.0,11.336785877934735,29.17260983989344,0.0,-0.32,0.0006802721088434,0,73.5035107163603,0.0,0.0,17.00988133062452,0.0,0.0,10.604170897441684,4.736862953800049,0.0,2.066029856387,0.0,0.0,0,2,0,0,0,6.22,2.2971
*Oc1ccc(Oc2ccc(*)s2)s1,2.102852645102257,3.25023622166944,1.204843062801114,2.6372453042106296,0.0,22.673571755869474,9.843390348640757,0.0,-1.0,0.0125959257159653,0,77.35211575468722,0.0,0.0,24.26546827384644,0.0,15.189622605864628,0.0,0.0,0.0,9.79150985239775,0.0,0.0,0,0,0,0,0,3.9,1.867
*OC(=S)Oc1ccc(*)s1,2.5725016835725403,2.1354284739145486,0.6309008405285687,1.3887686278999931,0.0,11.336785877934735,22.06126379168745,0.0,-0.6100000000000001,0.13359693877551,0,61.21074211422497,0.0,0.0,12.13273413692322,0.0,5.0632075352882095,5.236688001925443,5.106527394840706,0.0,7.586570294784581,0.0,0.0,0,1,0,0,0,4.48,1.9459
*c1ccc(-c2ccc(-c3ccc(-c4ccc(*)s4)s3)s2)cc1,1.6419110975860638,6.528162884006386,3.172077099316744,6.579764272364057,0.0,11.446429838927523,0.0,0.0,-1.6799999999999993,0.3131502453585231,0,136.06964561755134,0.0,0.0,60.6636706846161,0.0,0.0,0.0,0.0,0.0,1.6233713997408985,0.0,0.0,0,0,1,0,0,8.85,2.9445
*Oc1ccc(-c2ccc(-c3ccc(*)cc3)s2)s1,1.922111593567648,5.163355136251496,2.432938051227949,4.642931031276396,0.0,17.403152946396347,5.106527394840706,0.0,-1.5799999999999996,0.0116882331700152,0,107.6355033749538,0.0,0.0,48.53093654769288,0.0,5.0632075352882095,0.0,0.0,0.0,6.579011155974991,0.0,0.0,0,0,1,0,0,5.17,2.1712
*c1ccc(-c2ccc(-c3ccc(-c4ccc(*)s4)cc3)s2)cc1,1.6117237982135977,7.030598196065482,3.53431464580815,5.56334321958544,0.0,11.446429838927523,0.0,0.0,-2.16,0.3073743632689547,0,138.2382024725312,0.0,0.0,72.79640482153933,0.0,0.0,0.0,0.0,0.0,1.610993498429396,0.0,0.0,0,0,2,0,0,4.25,2.033
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,1.9045869153723525,5.915790448310592,2.89601638248112,4.315115096271024,0.0,6.06636706846161,12.217873443046695,0.0,-1.7699999999999996,0.1355877828960647,0,122.096828832069,0.0,0.0,66.2271221763131,0.0,0.0,5.36748289551624,0.0,0.0,1.193948642262204,0.0,0.0,0,1,2,0,0,5.87,2.3194
*Oc1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,1.9054977594361533,5.665790448310592,2.747581349104649,3.9309778024990383,0.0,6.06636706846161,5.106527394840706,0.0,-2.06,0.0264492541409722,0,109.80406022993368,0.0,0.0,60.6636706846161,0.0,5.749511833283905,0.0,0.0,0.0,5.45008662377488,0.0,0.0,0,0,2,0,0,4.91,2.1267
*c1ccc(-c2ccc(C(=S)c3ccc(*)s3)s2)cc1,1.9004614026509123,5.413355136251495,2.5279629760640128,5.192080101344387,0.0,11.446429838927523,12.217873443046695,0.0,-1.2899999999999996,0.293358063126281,0,119.92827197708914,0.0,0.0,58.28523093509548,0.0,0.0,4.864567318751625,0.0,0.0,1.560337196607038,0.0,0.0,0,1,1,0,0,9.09,2.8943
*c1ccc(-c2ccc(Oc3ccc(*)s3)s2)cc1,1.8091044533290097,5.117479281483426,2.2322506936892954,3.91908393477696,0.0,28.739938824331084,4.736862953800049,0.0,-1.5799999999999996,0.2940988038670217,0,107.95481485226466,0.0,0.0,48.53093654769288,0.0,10.12641507057642,0.0,0.0,0.0,3.5372410136894272,0.0,0.0,0,0,1,0,0,5.22,2.1868
*C(=S)Oc1ccc(-c2ccc(*)cc2)s1,2.241169311999731,4.002671533728536,1.726349853160727,2.8219819735436324,0.0,11.336785877934735,16.954736396846744,0.0,-1.1899999999999995,0.0217494960947343,0,91.81344121180244,0.0,0.0,36.39820241076966,0.0,5.0632075352882095,5.553543237103148,0.0,0.0,0.9281944444444444,0.0,0.0,0,1,1,0,0,5.67,2.1962
*Oc1ccc(-c2ccc(-c3ccc(*)cc3)cc2)s1,1.887548695264468,5.665790448310592,2.802324467521599,3.7312899212378383,0.0,17.403152946396347,5.106527394840706,0.0,-2.059999999999999,0.0201686261490345,0,109.80406022993368,0.0,0.0,60.6636706846161,0.0,5.0632075352882095,0.0,0.0,0.0,6.559924717963172,0.0,0.0,0,0,2,0,0,5.01,2.1534
*c1ccc(-c2ccc(-c3ccc(-c4ccc(*)s4)cc3)cc2)cc1,1.5827738736289825,7.533033508124578,3.910849931904041,4.7564820522869455,0.0,11.446429838927523,0.0,0.0,-2.639999999999999,0.3015399670104512,0,140.4067593275111,0.0,0.0,84.92913895846256,0.0,0.0,0.0,0.0,0.0,1.606472024716454,0.0,0.0,0,0,3,0,0,5.39,2.2986
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,1.872001422146861,6.418225760369688,3.27255166857701,3.5082539289725263,0.0,6.06636706846161,12.217873443046695,0.0,-2.249999999999999,0.1285967667432033,0,124.2653856870489,0.0,0.0,78.35985631323634,0.0,0.0,5.36748289551624,0.0,0.0,1.1868325727903652,0.0,0.0,0,1,3,0,0,4.57,2.0777
*Oc1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,1.8726978379111328,6.168225760369688,3.1241166352005405,3.1241166352005405,0.0,6.06636706846161,5.106527394840706,0.0,-2.539999999999999,0.0334402702938336,0,111.97261708491357,0.0,0.0,72.79640482153933,0.0,5.749511833283905,0.0,0.0,0.0,5.446722443947788,0.0,0.0,0,0,3,0,0,3.87,1.9034
*OC(=S)c1ccc(-c2ccc(*)cc2)cc1,2.28940133813224,4.550982700555701,2.172169285981684,2.407871546377199,0.0,0.0,17.324400837887403,0.0,-1.6699999999999997,0.1171860717044699,0,93.66268658947143,0.0,0.0,54.09438803938988,0.0,0.0,5.050627660338535,5.106527394840706,0.0,5.9365771623158,0.0,0.0,0,1,2,0,0,4.56,2.0445
*C(=S)c1ccc(C(=S)c2ccc(*)cc2)s1,2.301131634516727,4.298547388496605,1.9108024600777045,3.862927652754725,0.0,11.336785877934735,24.43574688609339,0.0,-0.9000000000000001,0.1325592088687327,0,103.78689833662688,0.0,0.0,51.71594828986925,0.0,0.0,10.232050214267865,0.0,0.0,1.1840334467120184,0.0,0.0,0,2,1,0,0,6.78,2.4956
*Oc1ccc(C(=S)c2ccc(*)cc2)s1,2.2762854936030408,4.048547388496605,1.7855539070814863,3.2677658969447823,0.0,11.336785877934735,17.324400837887403,0.0,-1.1899999999999995,0.0294778281683041,0,91.49412973449157,0.0,0.0,46.83880109616796,0.0,5.0632075352882095,4.864567318751625,0.0,0.0,6.435358245149912,0.0,0.0,0,1,1,0,0,4.54,2.0044
*C(=S)c1ccc(C(=S)c2ccc(*)cc2)cc1,2.284394871094497,4.800982700555701,2.2453622174409213,2.9524689986274693,0.0,0.0,24.43574688609339,0.0,-1.38,0.1235546690362705,0,105.95545519160676,0.0,0.0,65.22129102278387,0.0,0.0,10.232050214267865,0.0,0.0,1.163638788593695,0.0,0.0,0,2,2,0,0,3.8,1.8941
*Oc1ccc(C(=S)c2ccc(*)cc2)cc1,2.268204423334219,4.550982700555701,2.0969271840644508,2.568331704855483,0.0,0.0,17.324400837887403,0.0,-1.6699999999999997,0.0384823680007664,0,93.66268658947143,0.0,0.0,59.65783953108687,0.0,5.749511833283905,4.864567318751625,0.0,0.0,5.385346058763266,0.0,0.0,0,1,2,0,0,4.95,2.0867
